Timestamp,Temperature,Vibrations,Pressure,Current,Operating_Time,Humidity,Noise_Level,Energy_Consumption,Pump_Type,Location,State
2024-01-01 00:00:00,,2.58,3.16,11.86,0.56,67.93,65.62,0.01,Piston,Zone A,0
2024-01-01 01:00:00,55.6,2.55,3.35,11.97,2.04,47.59,70.46,0.01,Centrifuge,Zone A,0
2024-01-01 02:00:00,60.74,1.2,3.2,12.06,3.34,56.45,63.46,0.01,Piston,Zone A,0
2024-01-01 03:00:00,66.15,2.67,3.56,12.95,4.71,43.62,69.28,0.01,Centrifuge,Zone C,0
2024-01-01 04:00:00,58.16,,4.1,11.25,5.9,39.67,67.18,0.01,Piston,Zone B,0
2024-01-01 05:00:00,58.66,1.73,3.11,11.15,6.59,48.05,63.89,0.01,Centrifuge,Zone A,0
2024-01-01 06:00:00,67.9,4.05,,13.24,7.12,36.37,73.95,0.01,Diaphragm,Zone A,0
2024-01-01 07:00:00,,3.49,3.11,11.54,8.49,40.62,74.23,0.01,Centrifuge,Zone B,0
2024-01-01 08:00:00,56.98,2.27,3.08,10.74,9.38,55.91,65.15,0.01,Diaphragm,Zone B,0
2024-01-01 09:00:00,61.25,2.86,3.91,11.51,10.15,44.86,68.92,0.01,Centrifuge,Zone C,0
2024-01-01 10:00:00,55.18,4.6,3.96,11.67,11.21,57.11,70.22,0.01,Diaphragm,Zone B,0
2024-01-01 11:00:00,53.97,3.73,3.93,13.55,12.13,52.99,60.93,0.01,Centrifuge,Zone A,0
2024-01-01 12:00:00,56.21,3.01,2.84,12.92,13.28,68.51,63.01,0.01,Diaphragm,Zone B,0
2024-01-01 13:00:00,44.14,2.76,3.27,13.15,14.26,55.24,76.43,0.02,Centrifuge,Zone A,0
2024-01-01 14:00:00,43.88,3.08,3.91,12.82,15.46,61.14,64.67,0.01,Centrifuge,Zone C,0
2024-01-01 15:00:00,48.65,2.49,3.52,12.95,16.82,54.02,,0.01,Piston,Zone A,0
2024-01-01 16:00:00,,0.9,2.96,11.31,17.51,53.11,63.27,0.01,Piston,Zone A,0
2024-01-01 17:00:00,51.74,5.04,,11.8,18.34,61.65,73.29,0.01,Diaphragm,Zone B,0
